YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2021-W04,0,,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W04,1071,,585,0,54990,AT,8901064,AT,Age18_24,COM,696064
2021-W04,0,,0,0,0,AT,8901064,AT,Age18_24,UNK,696064
2021-W04,84,,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W04,0,,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W04,7534,,6052,0,54990,AT,8901064,AT,Age25_49,COM,3006228
2021-W04,1,,0,0,0,AT,8901064,AT,Age25_49,UNK,3006228
2021-W04,1550,,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W04,0,,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W04,3,,1,0,0,AT,8901064,AT,Age50_59,UNK,1396889
2021-W04,942,,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W04,0,,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W04,4542,,4112,0,54990,AT,8901064,AT,Age50_59,COM,1396889
2021-W04,0,,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W04,0,,0,0,54990,AT,8901064,AT,Age5_9,COM,
2021-W04,0,,0,0,0,AT,8901064,AT,Age5_9,MOD,
2021-W04,0,,0,0,0,AT,8901064,AT,Age5_9,JANSS,
2021-W04,0,,0,0,0,AT,8901064,AT,Age5_9,AZ,
2021-W04,0,,0,0,0,AT,8901064,AT,Age5_9,UNK,
2021-W04,741,,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W04,1961,,1978,0,54990,AT,8901064,AT,Age60_69,COM,1016016
2021-W04,0,,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W04,1,,0,0,0,AT,8901064,AT,Age60_69,UNK,1016016
2021-W04,0,,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W04,1,,0,0,0,AT,8901064,AT,Age70_79,UNK,769199
2021-W04,163,,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W04,0,,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W04,0,,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W04,1450,,1228,0,54990,AT,8901064,AT,Age70_79,COM,769199
2021-W04,10801,,3413,0,54990,AT,8901064,AT,Age80+,COM,474047
2021-W04,0,,0,0,0,AT,8901064,AT,Age80+,UNK,474047
2021-W04,453,,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W04,0,,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W04,0,,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W04,0,,0,0,0,AT,8901064,AT,Age<18,MOD,
2021-W04,7,,22,0,54990,AT,8901064,AT,Age<18,COM,
2021-W04,0,,0,0,0,AT,8901064,AT,Age<18,AZ,
2021-W04,0,,0,0,0,AT,8901064,AT,Age<18,UNK,
2021-W04,0,,0,0,0,AT,8901064,AT,Age<18,JANSS,
2021-W05,0,,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
